time_ms,Subject,Channel,value
632.0,7244_4_ants_ERN_err.dat,FCz,-2.20267
634.0,7244_4_ants_ERN_err.dat,FCz,-2.42612
636.0,7244_4_ants_ERN_err.dat,FCz,-2.62835
638.0,7244_4_ants_ERN_err.dat,FCz,-2.809
640.0,7244_4_ants_ERN_err.dat,FCz,-2.96685
642.0,7244_4_ants_ERN_err.dat,FCz,-3.10007
644.0,7244_4_ants_ERN_err.dat,FCz,-3.20659
646.0,7244_4_ants_ERN_err.dat,FCz,-3.28519
648.0,7244_4_ants_ERN_err.dat,FCz,-3.33673
650.0,7244_4_ants_ERN_err.dat,FCz,-3.36494
652.0,7244_4_ants_ERN_err.dat,FCz,-3.3768
654.0,7244_4_ants_ERN_err.dat,FCz,-3.382
656.0,7244_4_ants_ERN_err.dat,FCz,-3.39184
658.0,7244_4_ants_ERN_err.dat,FCz,-3.41753
660.0,7244_4_ants_ERN_err.dat,FCz,-3.46837
662.0,7244_4_ants_ERN_err.dat,FCz,-3.54995
664.0,7244_4_ants_ERN_err.dat,FCz,-3.66298
666.0,7244_4_ants_ERN_err.dat,FCz,-3.80288
668.0,7244_4_ants_ERN_err.dat,FCz,-3.96028
670.0,7244_4_ants_ERN_err.dat,FCz,-4.12238
672.0,7244_4_ants_ERN_err.dat,FCz,-4.27497
674.0,7244_4_ants_ERN_err.dat,FCz,-4.40475
676.0,7244_4_ants_ERN_err.dat,FCz,-4.50125
678.0,7244_4_ants_ERN_err.dat,FCz,-4.55849
680.0,7244_4_ants_ERN_err.dat,FCz,-4.57572
682.0,7244_4_ants_ERN_err.dat,FCz,-4.55733
684.0,7244_4_ants_ERN_err.dat,FCz,-4.51186
686.0,7244_4_ants_ERN_err.dat,FCz,-4.4505
688.0,7244_4_ants_ERN_err.dat,FCz,-4.38494
690.0,7244_4_ants_ERN_err.dat,FCz,-4.32575
692.0,7244_4_ants_ERN_err.dat,FCz,-4.28051
694.0,7244_4_ants_ERN_err.dat,FCz,-4.25324
696.0,7244_4_ants_ERN_err.dat,FCz,-4.24426
698.0,7244_4_ants_ERN_err.dat,FCz,-4.25109
700.0,7244_4_ants_ERN_err.dat,FCz,-4.26954
702.0,7244_4_ants_ERN_err.dat,FCz,-4.29509
704.0,7244_4_ants_ERN_err.dat,FCz,-4.32404
706.0,7244_4_ants_ERN_err.dat,FCz,-4.35423
708.0,7244_4_ants_ERN_err.dat,FCz,-4.38541
710.0,7244_4_ants_ERN_err.dat,FCz,-4.41904
712.0,7244_4_ants_ERN_err.dat,FCz,-4.45808
714.0,7244_4_ants_ERN_err.dat,FCz,-4.50622
716.0,7244_4_ants_ERN_err.dat,FCz,-4.56734
718.0,7244_4_ants_ERN_err.dat,FCz,-4.64489
720.0,7244_4_ants_ERN_err.dat,FCz,-4.7412
722.0,7244_4_ants_ERN_err.dat,FCz,-4.85737
724.0,7244_4_ants_ERN_err.dat,FCz,-4.99288
726.0,7244_4_ants_ERN_err.dat,FCz,-5.14553
728.0,7244_4_ants_ERN_err.dat,FCz,-5.31167
730.0,7244_4_ants_ERN_err.dat,FCz,-5.48628
732.0,7244_4_ants_ERN_err.dat,FCz,-5.66314
734.0,7244_4_ants_ERN_err.dat,FCz,-5.83541
736.0,7244_4_ants_ERN_err.dat,FCz,-5.99598
738.0,7244_4_ants_ERN_err.dat,FCz,-6.13769
740.0,7244_4_ants_ERN_err.dat,FCz,-6.25394
742.0,7244_4_ants_ERN_err.dat,FCz,-6.33857
744.0,7244_4_ants_ERN_err.dat,FCz,-6.38617
746.0,7244_4_ants_ERN_err.dat,FCz,-6.39234
748.0,7244_4_ants_ERN_err.dat,FCz,-6.35385
750.0,7244_4_ants_ERN_err.dat,FCz,-6.26932
752.0,7244_4_ants_ERN_err.dat,FCz,-6.13935
754.0,7244_4_ants_ERN_err.dat,FCz,-5.96705
756.0,7244_4_ants_ERN_err.dat,FCz,-5.75791
758.0,7244_4_ants_ERN_err.dat,FCz,-5.51971
760.0,7244_4_ants_ERN_err.dat,FCz,-5.26172
762.0,7244_4_ants_ERN_err.dat,FCz,-4.99396
764.0,7244_4_ants_ERN_err.dat,FCz,-4.72617
766.0,7244_4_ants_ERN_err.dat,FCz,-4.46687
